from,to,cost
28,21,1550.88
28,26,1554.54
28,41,866.99
28,49,1740.09
28,54,854.05
28,57,854.39
28,58,1881.54
28,83,1381.09
28,87,1138.54
28,99,274.58
28,100,596.37
28,122,208.01
28,123,1982.95
29,3,1350.59
29,5,819.73
29,9,817.12
29,18,1888.01
29,19,1211.48
29,31,524.97
29,36,22.08
29,38,524.99
29,46,1351.01
29,55,1884.95
29,830,1814.36
29,845,1766.1
29,855,1971.18
29,857,1667.46
30,0,150.51
30,2,978.59
30,8,93.35
30,11,1439.85
30,15,1328.25
30,21,1658.45
30,26,1656.64
30,33,852.03
30,34,851.83
30,39,1707.49
30,40,225.93
30,44,662.66
30,58,1328.9
31,3,1875.46
31,5,1343.19
31,9,1341.45
31,19,686.52
31,24,1524.07
31,29,524.97
31,36,524.43
31,38,23.35
31,46,1875.66
32,4,21.73
32,10,752.16
32,13,1841.78
32,23,863.96
32,37,1849.42
32,48,1980.52
33,0,1002.08
33,2,1829.15
33,8,940.99
33,14,1492.75
33,15,477.85
33,21,806.42
33,26,804.81
33,30,852.03
33,34,22.54
33,40,626.16
33,41,1489.1
33,44,1512.17
33,58,477.33
34,0,1001.54
34,2,1827.82
34,8,940.05
34,14,1494.74
34,15,476.55
34,21,807.18
34,26,804.93
34,30,851.83
34,33,22.54
34,40,625.9
34,41,1490.65
34,44,1510.69
34,58,477.13
35,2,1474.91
35,7,1210.22
35,11,1015.03
35,16,1211.69
35,18,1829.3
35,20,655.88
35,39,748.55
35,44,1790.1
35,45,658.21
35,53,377.52
35,55,1829.52
35,830,1936.8
35,855,1901.54
36,3,1352.26
36,5,818.88
36,9,817.03
36,18,1893.01
36,19,1210.59
36,29,22.08
36,31,524.43
36,38,523.47
36,46,1353.11
36,55,1889.72
36,830,1821.16
36,845,1749.82
36,855,1980.62
36,857,1654.73
37,4,1855.48
37,10,1103.18
37,13,25.19
37,22,1173.15
37,23,988.27
37,25,1867.46
37,32,1849.42
37,42,1455.45
37,43,154.62
37,47,670.31
37,48,132.36
37,50,1874.82
37,51,1389.35
38,3,1875.48
38,5,1341.51
38,9,1340.25
38,19,687.26
38,24,1523.67
38,29,524.99
38,31,23.35
38,36,523.47
38,46,1876.0
39,0,1557.28
39,2,733.69
39,7,1958.53
39,8,1615.72
39,11,267.65
39,16,1960.18
39,20,1404.43
39,30,1707.49
39,35,748.55
39,40,1930.72
39,44,1045.28
39,45,1406.54
39,53,375.92
40,0,375.95
40,2,1203.6
40,8,315.39
40,11,1663.11
40,15,1102.35
40,21,1432.56
40,26,1430.71
40,30,225.93
40,33,626.16
40,34,625.9
40,39,1930.72
40,44,887.03
40,58,1102.97
41,6,864.18
41,14,29.92
41,15,1018.33
41,21,684.18
41,26,688.56
41,28,866.99
41,33,1489.1
41,34,1490.65
41,54,1721.04
41,57,1721.18
41,58,1014.83
41,83,1658.3
41,87,1467.88
41,99,1048.92
41,100,1126.14
41,122,1065.48
42,13,1454.05
42,17,810.51
42,22,300.94
42,25,435.31
42,37,1455.45
42,43,1316.58
42,47,840.42
42,48,1327.11
42,49,810.92
42,50,435.53
42,51,66.32
42,54,1696.96
42,57,1696.95
43,10,1257.79
43,13,165.35
43,22,1029.36
43,23,1142.89
43,25,1734.7
43,37,154.62
43,42,1316.58
43,47,517.3
43,48,35.72
43,50,1740.91
43,51,1250.85
44,0,512.25
44,2,317.26
44,8,571.64
44,11,777.72
44,15,1985.71
44,30,662.66
44,33,1512.17
44,34,1510.69
44,35,1790.1
44,39,1045.28
44,40,887.03
44,53,1421.16
44,58,1987.48
45,3,1729.31
45,7,555.29
45,11,1672.43
45,16,555.33
45,18,1177.48
45,20,25.58
45,35,658.21
45,39,1406.54
45,46,1723.81
45,53,1034.99
45,55,1179.01
45,830,1279.38
45,832,1541.92
45,836,1818.64
45,855,1249.44
46,3,25.91
46,5,550.98
46,7,1179.12
46,9,545.16
46,16,1184.38
46,18,579.1
46,20,1718.95
46,29,1351.01
46,31,1875.66
46,36,1353.11
46,38,1876.0
46,45,1723.81
46,55,570.09
46,830,577.25
46,832,1674.53
46,845,1433.11
46,855,840.46
46,857,1086.76
47,10,1769.41
47,13,676.76
47,17,1648.7
47,22,540.78
47,23,1655.43
47,25,1273.23
47,37,670.31
47,42,840.42
47,43,517.3
47,48,538.34
47,49,1650.22
47,50,1275.26
47,51,777.81
48,4,1986.38
48,10,1232.97
48,13,138.9
48,22,1042.6
48,23,1118.43
48,25,1742.36
48,32,1980.52
48,37,132.36
48,42,1327.11
48,43,35.72
48,47,538.34
48,50,1749.1
48,51,1261.16
49,6,1743.34
49,17,24.37
49,22,1111.86
49,25,377.21
49,28,1740.09
49,42,810.92
49,47,1650.22
49,50,375.4
49,51,872.47
49,54,886.05
49,57,886.25
49,99,1599.71
49,100,1752.46
49,122,1545.77
50,13,1871.59
50,17,375.54
50,22,736.47
50,25,27.38
50,37,1874.82
50,42,435.53
50,43,1740.91
50,47,1275.26
50,48,1749.1
50,49,375.4
50,51,497.46
50,54,1261.45
50,57,1261.55
50,99,1972.16
50,122,1920.9
51,13,1387.87
51,17,871.32
51,22,241.15
51,25,495.75
51,37,1389.35
51,42,66.32
51,43,1250.85
51,47,777.81
51,48,1261.16
51,49,872.47
51,50,497.46
51,54,1758.26
51,57,1757.89
52,1,480.81
52,27,972.16
52,56,1657.45
52,182,1461.3
53,0,1933.2
53,2,1108.72
53,7,1584.67
53,8,1991.62
53,11,643.57
53,16,1586.8
53,20,1031.75
53,35,377.52
53,39,375.92
53,44,1421.16
53,45,1034.99
54,6,857.56
54,14,1717.71
54,17,887.03
54,22,1997.9
54,25,1262.56
54,28,854.05
54,41,1721.04
54,42,1696.96
54,49,886.05
54,50,1261.45
54,51,1758.26
54,57,23.8
54,83,1598.03
54,87,1387.74
54,99,732.65
54,100,964.03
54,122,661.64
55,3,581.88
55,5,1114.39
55,7,624.71
55,9,1105.25
55,16,627.04
55,18,20.13
55,20,1177.22
55,29,1884.95
55,35,1829.52
55,36,1889.72
55,45,1179.01
55,46,570.09
55,830,189.36
55,832,1289.84
55,836,1720.33
55,845,1825.6
55,855,439.56
55,857,1450.27
56,12,463.69
56,24,1256.68
56,27,688.23
56,52,1657.45
57,6,857.19
57,14,1718.27
57,17,886.58
57,22,1997.86
57,25,1262.15
57,28,854.39
57,41,1721.18
57,42,1696.95
57,49,886.25
57,50,1261.55
57,51,1757.89
57,54,23.8
57,83,1618.63
57,87,1407.31
57,99,740.32
57,100,978.77
57,122,664.57
58,0,1478.68
58,6,1878.05
58,8,1417.15
58,14,1019.91
58,15,23.28
58,21,330.67
58,26,327.81
58,28,1881.54
58,30,1328.9
58,33,477.33
58,34,477.13
58,40,1102.97
58,41,1014.83
58,44,1987.48
59,60,1903.8
59,61,1509.25
59,62,1093.8
59,63,707.59
60,59,1903.8
60,62,810.99
60,480,1157.71
60,495,1910.64
60,527,1321.16
60,558,1424.16
60,564,1339.4
60,566,1911.83
61,59,1509.25
61,63,811.8
61,148,1424.09
62,59,1093.8
62,60,810.99
62,63,1649.25
62,480,1939.14
62,527,1963.96
62,564,1986.36
63,59,707.59
63,61,811.8
63,62,1649.25
65,66,613.11
65,67,1937.6
65,69,1220.9
65,70,1292.43
65,71,1529.14
65,74,615.86
65,75,1521.05
66,65,613.11
66,69,1823.16
66,70,1893.2
66,71,917.85
66,74,26.54
66,75,908.73
67,65,1937.6
67,69,755.28
67,70,683.14
67,643,1499.61
67,678,1429.17
67,683,1318.53
67,684,1682.0
68,72,1502.34
68,691,628.86
69,65,1220.9
69,66,1823.16
69,67,755.28
69,70,73.38
69,74,1821.46
70,65,1292.43
70,66,1893.2
70,67,683.14
70,69,73.38
70,74,1891.18
70,683,1999.24
71,65,1529.14
71,66,917.85
71,74,913.42
71,75,32.01
72,68,1502.34
72,691,1995.43
73,208,578.13
73,231,896.07
73,253,552.09
73,261,1178.52
73,262,739.18
73,266,480.47
74,65,615.86
74,66,26.54
74,69,1821.46
74,70,1891.18
74,71,913.42
74,75,905.2
75,65,1521.05
75,66,908.73
75,71,32.01
75,74,905.2
76,80,1411.76
76,85,213.89
76,88,989.47
76,92,259.74
76,94,1412.9
76,101,577.46
76,107,1961.81
76,115,989.27
76,116,1961.07
76,119,725.33
77,79,1814.53
77,93,949.83
77,96,46.44
77,97,1541.58
77,98,1814.62
77,108,1864.04
77,109,1647.63
77,110,295.25
77,112,1728.31
78,80,768.35
78,82,270.35
78,94,772.48
78,97,1608.1
78,101,1590.57
78,102,22.96
78,105,215.03
78,108,1307.12
78,109,1511.96
78,112,1437.04
78,119,1442.83
79,77,1814.53
79,86,857.97
79,89,297.29
79,96,1851.34
79,98,21.12
79,110,1520.22
79,117,861.17
79,592,1740.27
79,596,1897.04
79,606,1219.46
79,635,1511.58
79,651,1863.02
79,657,1291.6
79,667,1488.81
79,669,1199.51
79,690,1268.3
80,76,1411.76
80,78,768.35
80,82,1037.12
80,85,1614.5
80,92,1665.12
80,94,21.83
80,101,837.36
80,102,767.73
80,105,979.09
80,119,689.29
81,90,1991.61
81,91,479.8
81,95,1055.83
81,103,1121.31
81,111,1989.39
81,114,1877.58
81,118,1269.68
81,461,1670.94
81,477,1368.92
81,535,1578.52
81,550,1672.38
81,553,1984.64
82,78,270.35
82,80,1037.12
82,93,1942.14
82,94,1041.86
82,97,1345.91
82,101,1852.56
82,102,269.4
82,105,60.37
82,108,1039.66
82,109,1247.07
82,112,1170.9
82,119,1705.44
83,6,1406.87
83,14,1631.63
83,28,1381.09
83,41,1658.3
83,54,1598.03
83,57,1618.63
83,87,243.39
83,99,1159.96
83,100,792.0
83,104,1505.75
83,121,1634.46
83,122,1319.02
83,123,603.11
84,88,1802.87
84,90,1034.89
84,95,1971.68
84,107,832.82
84,111,1035.4
84,113,63.04
84,115,1803.13
84,116,831.87
84,118,1755.63
84,524,1905.68
84,529,1310.17
84,535,1469.95
84,550,1356.93
84,575,1989.31
84,587,1321.35
85,76,213.89
85,80,1614.5
85,88,779.75
85,92,52.22
85,94,1614.63
85,101,785.74
85,107,1750.28
85,115,778.65
85,116,1749.98
85,119,932.5
86,79,857.97
86,89,560.97
86,98,858.57
86,117,25.01
86,592,958.2
86,606,1023.38
86,635,1626.83
86,657,481.43
86,667,1616.4
86,669,1038.87
86,690,457.93
87,6,1164.35
87,14,1442.68
87,21,1988.35
87,28,1138.54
87,41,1467.88
87,54,1387.74
87,57,1407.31
87,83,243.39
87,99,917.01
87,100,548.65
87,104,1749.14
87,121,1877.85
87,122,1076.4
87,123,846.5
88,76,989.47
88,84,1802.87
88,85,779.75
88,92,730.57
88,101,1565.34
88,107,973.56
88,113,1857.89
88,115,20.01
88,116,972.09
88,119,1712.25
89,79,297.29
89,86,560.97
89,98,297.62
89,110,1817.36
89,117,564.84
89,592,1463.73
89,596,1940.23
89,606,1070.83
89,635,1487.13
89,651,1897.21
89,657,999.41
89,667,1468.2
89,669,1061.15
89,690,975.9
90,81,1991.61
90,84,1034.89
90,95,937.49
90,107,1867.64
90,111,20.88
90,113,978.07
90,116,1866.26
90,118,722.1
90,477,1179.72
90,529,1402.79
90,535,498.31
90,550,359.04
90,587,1398.83
91,81,479.8
91,95,1529.73
91,103,642.82
91,114,1399.43
91,118,1741.19
91,438,1898.46
91,439,1879.57
91,461,1256.07
91,477,1725.16
91,553,1955.66
92,76,259.74
92,80,1665.12
92,85,52.22
92,88,730.57
92,94,1665.42
92,101,834.84
92,107,1702.24
92,115,729.95
92,116,1701.65
92,119,982.0
93,77,949.83
93,82,1942.14
93,96,903.7
93,97,617.55
93,108,948.12
93,109,731.79
93,110,1219.53
93,112,814.14
94,76,1412.9
94,78,772.48
94,80,21.83
94,82,1041.86
94,85,1614.63
94,92,1665.42
94,101,839.8
94,102,772.49
94,105,984.2
94,119,692.01
95,81,1055.83
95,84,1971.68
95,90,937.49
95,91,1529.73
95,111,936.31
95,113,1915.4
95,118,216.51
95,477,835.08
95,535,580.76
95,550,639.95
96,77,46.44
96,79,1851.34
96,93,903.7
96,97,1496.72
96,98,1851.76
96,108,1819.74
96,109,1603.16
96,110,334.83
96,112,1683.97
97,77,1541.58
97,78,1608.1
97,82,1345.91
97,93,617.55
97,96,1496.72
97,102,1611.49
97,105,1406.01
97,108,330.61
97,109,116.54
97,110,1823.22
97,112,197.9
98,77,1814.62
98,79,21.12
98,86,858.57
98,89,297.62
98,96,1851.76
98,110,1520.04
98,117,862.38
98,592,1747.09
98,596,1876.0
98,606,1202.24
98,635,1490.73
98,651,1841.93
98,657,1287.93
98,667,1467.93
98,669,1181.87
98,690,1264.71
99,6,297.69
99,14,1039.39
99,17,1603.92
99,21,1726.64
99,25,1976.23
99,26,1733.19
99,28,274.58
99,41,1048.92
99,49,1599.71
99,50,1972.16
99,54,732.65
99,57,740.32
99,83,1159.96
99,87,917.01
99,100,369.93
99,122,160.7
99,123,1762.54
100,6,622.23
100,14,1107.76
100,17,1761.37
100,21,1755.07
100,26,1766.14
100,28,596.37
100,41,1126.14
100,49,1752.46
100,54,964.03
100,57,978.77
100,83,792.0
100,87,548.65
100,99,369.93
100,122,530.37
100,123,1395.09
101,76,577.46
101,78,1590.57
101,80,837.36
101,82,1852.56
101,85,785.74
101,88,1565.34
101,92,834.84
101,94,839.8
101,102,1586.5
101,105,1792.75
101,115,1564.39
101,119,148.3
102,78,22.96
102,80,767.73
102,82,269.4
102,94,772.49
102,97,1611.49
102,101,1586.5
102,105,212.03
102,108,1308.38
102,109,1514.39
102,112,1438.95
102,119,1438.96
103,81,1121.31
103,91,642.82
103,104,1529.21
103,114,756.61
103,121,1400.56
103,438,1637.08
103,439,1629.68
103,461,877.34
104,83,1505.75
104,87,1749.14
104,103,1529.21
104,114,772.65
104,121,128.77
104,123,902.64
104,438,1958.39
104,439,1980.74
104,461,1478.43
105,78,215.03
105,80,979.09
105,82,60.37
105,94,984.2
105,97,1406.01
105,101,1792.75
105,102,212.03
105,108,1098.88
105,109,1306.85
105,112,1230.46
105,119,1645.73
107,76,1961.81
107,84,832.82
107,85,1750.28
107,88,973.56
107,90,1867.64
107,92,1702.24
107,111,1868.21
107,113,889.98
107,115,972.75
107,116,24.82
107,529,1742.38
107,587,1760.04
108,77,1864.04
108,78,1307.12
108,82,1039.66
108,93,948.12
108,96,1819.74
108,97,330.61
108,102,1308.38
108,105,1098.88
108,109,217.56
108,112,135.83
109,77,1647.63
109,78,1511.96
109,82,1247.07
109,93,731.79
109,96,1603.16
109,97,116.54
109,102,1514.39
109,105,1306.85
109,108,217.56
109,110,1931.51
109,112,82.37
110,77,295.25
110,79,1520.22
110,89,1817.36
110,93,1219.53
110,96,334.83
110,97,1823.22
110,98,1520.04
110,109,1931.51
111,81,1989.39
111,84,1035.4
111,90,20.88
111,95,936.31
111,107,1868.21
111,113,979.16
111,116,1867.11
111,118,720.43
111,477,1164.15
111,529,1421.55
111,535,486.28
111,550,348.69
111,587,1417.72
112,77,1728.31
112,78,1437.04
112,82,1170.9
112,93,814.14
112,96,1683.97
112,97,197.9
112,102,1438.95
112,105,1230.46
112,108,135.83
112,109,82.37
113,84,63.04
113,88,1857.89
113,90,978.07
113,95,1915.4
113,107,889.98
113,111,979.16
113,115,1858.48
113,116,888.24
113,118,1699.6
113,477,1986.68
113,524,1872.84
113,529,1268.42
113,535,1419.58
113,550,1304.26
113,575,1957.86
113,587,1278.98
114,81,1877.58
114,91,1399.43
114,103,756.61
114,104,772.65
114,121,643.97
114,123,1674.41
114,438,1626.33
114,439,1635.93
114,461,935.05
115,76,989.27
115,84,1803.13
115,85,778.65
115,88,20.01
115,92,729.95
115,101,1564.39
115,107,972.75
115,113,1858.48
115,116,971.8
115,119,1711.04
116,76,1961.07
116,84,831.87
116,85,1749.98
116,88,972.09
116,90,1866.26
116,92,1701.65
116,107,24.82
116,111,1867.11
116,113,888.24
116,115,971.8
116,529,1723.69
116,587,1741.44
117,79,861.17
117,86,25.01
117,89,564.84
117,98,862.38
117,592,942.38
117,606,1048.36
117,635,1650.82
117,657,492.71
117,667,1640.27
117,669,1063.76
117,690,469.42
118,81,1269.68
118,84,1755.63
118,90,722.1
118,91,1741.19
118,95,216.51
118,111,720.43
118,113,1699.6
118,477,818.41
118,529,1884.9
118,535,388.91
118,550,428.19
118,587,1874.63
119,76,725.33
119,78,1442.83
119,80,689.29
119,82,1705.44
119,85,932.5
119,88,1712.25
119,92,982.0
119,94,692.01
119,101,148.3
119,102,1438.96
119,105,1645.73
119,115,1711.04
120,124,225.21
120,720,1229.59
120,790,1039.28
121,83,1634.46
121,87,1877.85
121,103,1400.56
121,104,128.77
121,114,643.97
121,123,1031.35
121,438,1881.71
121,439,1902.47
121,461,1370.25
122,6,220.75
122,14,1060.35
122,17,1547.66
122,21,1749.53
122,25,1922.85
122,26,1754.03
122,28,208.01
122,41,1065.48
122,49,1545.77
122,50,1920.9
122,54,661.64
122,57,664.57
122,83,1319.02
122,87,1076.4
122,99,160.7
122,100,530.37
122,123,1921.11
123,28,1982.95
123,83,603.11
123,87,846.5
123,99,1762.54
123,100,1395.09
123,104,902.64
123,114,1674.41
123,121,1031.35
123,122,1921.11
124,120,225.21
124,720,1454.71
124,790,1190.77
125,126,1218.12
125,128,1409.08
125,131,1732.01
125,133,1405.85
125,135,554.06
125,136,555.02
125,139,195.02
125,140,22.35
125,144,1630.2
125,146,193.6
125,481,1816.08
125,501,1895.77
125,502,1128.29
125,504,556.65
125,510,962.63
125,511,990.48
125,569,1498.72
125,578,1800.18
125,582,1652.41
126,125,1218.12
126,131,514.04
126,132,1955.75
126,133,218.62
126,135,669.41
126,136,678.08
126,139,1023.44
126,140,1221.82
126,142,1209.65
126,145,1876.88
126,146,1027.95
126,502,1901.7
126,504,762.57
126,510,1649.35
126,511,228.01
126,578,687.41
126,588,1448.74
127,128,1779.49
127,129,948.15
127,130,1669.12
127,134,313.18
127,137,1320.65
127,141,1704.73
127,143,1003.41
127,144,1557.14
127,150,954.09
128,125,1409.08
128,127,1779.49
128,129,835.74
128,134,1466.8
128,135,1961.12
128,136,1963.91
128,139,1602.2
128,140,1410.29
128,144,222.76
128,146,1602.61
128,150,833.26
128,481,1769.26
128,501,1800.94
128,502,1701.62
128,504,1952.14
128,510,1762.07
128,569,1673.15
128,582,1702.57
129,127,948.15
129,128,835.74
129,134,635.01
129,143,1949.99
129,144,615.58
129,150,21.48
130,127,1669.12
130,134,1978.33
130,137,354.17
130,138,1692.3
130,141,35.69
130,143,680.35
131,125,1732.01
131,126,514.04
131,132,1470.55
131,133,357.72
131,135,1181.57
131,136,1187.9
131,139,1537.21
131,140,1735.47
131,142,717.25
131,145,1389.64
131,146,1541.35
131,504,1256.52
131,511,742.01
131,578,456.15
131,588,1238.9
132,126,1955.75
132,131,1470.55
132,133,1828.13
132,142,753.37
132,145,82.53
132,149,1558.47
132,578,1697.15
133,125,1405.85
133,126,218.62
133,131,357.72
133,132,1828.13
133,135,867.84
133,136,880.71
133,139,1213.03
133,140,1411.39
133,142,1074.91
133,145,1747.3
133,146,1219.7
133,504,975.93
133,510,1867.85
133,511,424.36
133,578,470.89
133,588,1247.42
134,127,313.18
134,128,1466.8
134,129,635.01
134,130,1978.33
134,137,1631.66
134,143,1316.09
134,144,1244.63
134,150,641.22
135,125,554.06
135,126,669.41
135,128,1961.12
135,131,1181.57
135,133,867.84
135,136,38.66
135,139,359.39
135,140,555.73
135,142,1854.8
135,146,361.19
135,502,1359.03
135,504,199.99
135,510,1124.82
135,511,444.63
135,569,1808.46
135,578,1293.88
135,582,1979.37
135,588,1949.81
136,125,555.02
136,126,678.08
136,128,1963.91
136,131,1187.9
136,133,880.71
136,135,38.66
136,139,362.09
136,140,555.14
136,142,1854.48
136,146,361.42
136,502,1327.64
136,504,161.93
136,510,1091.74
136,511,456.4
136,569,1779.49
136,578,1313.11
136,582,1950.98
136,588,1977.73
137,127,1320.65
137,130,354.17
137,134,1631.66
137,141,389.73
137,143,326.17
138,130,1692.3
138,141,1657.13
138,147,1006.58
138,288,1577.91
138,309,1626.02
138,363,1524.57
138,368,1702.57
138,406,1317.43
139,125,195.02
139,126,1023.44
139,128,1602.2
139,131,1537.21
139,133,1213.03
139,135,359.39
139,136,362.09
139,140,198.58
139,144,1822.79
139,146,23.13
139,481,1930.41
139,502,1194.07
139,504,385.77
139,510,997.0
139,511,795.99
139,569,1600.63
139,578,1615.02
139,582,1762.24
140,125,22.35
140,126,1221.82
140,128,1410.29
140,131,1735.47
140,133,1411.39
140,135,555.73
140,136,555.14
140,139,198.58
140,144,1631.78
140,146,194.54
140,481,1796.28
140,501,1876.16
140,502,1106.23
140,504,550.3
140,510,940.28
140,511,994.5
140,569,1478.08
140,578,1809.11
140,582,1632.28
141,127,1704.73
141,130,35.69
141,137,389.73
141,138,1657.13
141,143,715.89
142,126,1209.65
142,131,717.25
142,132,753.37
142,133,1074.91
142,135,1854.8
142,136,1854.48
142,145,672.39
142,504,1893.0
142,511,1433.88
142,578,982.54
142,588,1517.52
143,127,1003.41
143,129,1949.99
143,130,680.35
143,134,1316.09
143,137,326.17
143,141,715.89
143,150,1954.97
144,125,1630.2
144,127,1557.14
144,128,222.76
144,129,615.58
144,134,1244.63
144,139,1822.79
144,140,1631.78
144,146,1823.6
144,150,614.2
144,481,1886.94
144,501,1910.07
144,502,1890.98
144,510,1965.44
144,569,1824.54
144,582,1836.94
145,126,1876.88
145,131,1389.64
145,132,82.53
145,133,1747.3
145,142,672.39
145,149,1633.34
145,578,1614.77
145,588,1987.66
146,125,193.6
146,126,1027.95
146,128,1602.61
146,131,1541.35
146,133,1219.7
146,135,361.19
146,136,361.42
146,139,23.13
146,140,194.54
146,144,1823.6
146,481,1910.7
146,501,1993.06
146,502,1172.0
146,504,375.38
